City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
641,Surt,LY,83.59,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
642,Eau Claire,US,73.17,scattered clouds,44.8114,-91.4985,Hampton Inn Eau Claire
643,Gushikawa,JP,84.2,clear sky,26.3544,127.8686,Kirari Guest House
644,Chitral,PK,72.16,overcast clouds,35.8462,71.7858,PTDC Motel Chitral
645,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
649,Snyder,US,81.32,broken clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
650,Kangaba,ML,80.08,moderate rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
652,Abu Zabad,SD,71.87,overcast clouds,12.35,29.25,حامد محمد نور
653,Rabo De Peixe,PT,72.91,broken clouds,37.8,-25.5833,Quinta das Giestas
655,Polewali,ID,74.97,broken clouds,-3.4324,119.3435,Lilianto Hotel
657,Marana,US,78.33,overcast clouds,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
658,Monroe,US,88.36,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
659,Mbandaka,CD,74.86,light rain,0.0487,18.2603,Guest House Epervier
660,Diu,IN,80.6,overcast clouds,20.7141,70.9822,Hotel Relax Inn
661,Yasinya,UA,74.52,broken clouds,48.2794,24.3604,Vip Apartments 5 Fireplaces
663,Russellville,US,82.18,clear sky,35.2784,-93.1338,Hampton Inn Russellville
665,Filadelfia,US,89.71,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
668,San Ignacio,BZ,86.14,few clouds,17.1561,-89.0714,Rainforest Haven Inn
669,Oliveira Dos Brejinhos,BR,85.96,overcast clouds,-12.3169,-42.8961,Hotel Paraiso
670,Pakxan,LA,75.27,moderate rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
671,Oshnaviyeh,IR,79.43,broken clouds,37.0397,45.0983,Aram Qurbani
672,Mehtar Lam,AF,83.37,broken clouds,34.6714,70.2094,Fareed Hakamani
673,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
674,Ikeda,JP,82.11,moderate rain,34.8221,135.4298,Masumisou
675,Odweyne,SO,84.58,broken clouds,9.4092,45.064,Eng Hiirey House
676,Naron,ES,76.05,broken clouds,43.5167,-8.1528,Marcial
677,Chokwe,MZ,73.8,clear sky,-24.5333,32.9833,Complexo Sonho Real
679,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
681,Praia Da Vitoria,PT,77.25,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
684,The Pas,CA,73.42,clear sky,53.8251,-101.2541,Wescana Inn
687,Shubarkuduk,KZ,71.83,broken clouds,49.1447,56.4872,Sirius
688,Mount Pleasant,US,86.05,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
689,Wenzhou,CN,86.4,overcast clouds,27.9994,120.6668,温州喜来登酒店
690,Bensonville,LR,76.55,light rain,6.4461,-10.6125,Moinga
691,Amnat Charoen,TH,72.28,light rain,15.9167,104.75,หอพักนักศึกษา
