City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
169,Meulaboh,4.1363,96.1285,78.26,87,100,5.59,ID,overcast clouds
170,Buraydah,26.326,43.975,104.45,15,75,31.45,SA,broken clouds
171,Calvia,39.5657,2.5062,90.41,62,0,8.1,ES,clear sky
172,Thompson,55.7435,-97.8558,73.56,64,20,11.5,CA,few clouds
173,Klaksvik,62.2266,-6.589,52.72,90,100,11.81,FO,light rain
174,Enshi,30.3,109.4833,80.74,75,92,1.63,CN,overcast clouds
175,Dudinka,69.4058,86.1778,46.36,57,3,15.08,RU,clear sky
176,Bambanglipuro,-7.95,110.2833,76.82,74,94,11.39,ID,overcast clouds
177,Correntina,-13.3433,-44.6367,82.51,32,0,12.55,BR,clear sky
178,Hanyang,32.1371,105.5126,76.82,85,72,1.41,CN,broken clouds
179,East London,-33.0153,27.9116,54.54,71,0,28.77,ZA,clear sky
180,Grindavik,63.8424,-22.4338,51.75,71,20,29.93,IS,few clouds
181,Vanavara,60.34,102.2797,45.75,86,100,5.41,RU,overcast clouds
182,Sitka,57.0531,-135.33,57.09,88,100,3.44,US,fog
183,Qui Nhon,13.7667,109.2333,80.65,84,100,5.73,VN,heavy intensity rain
184,Saint-Pierre,-21.3393,55.4781,71.28,60,0,6.91,RE,clear sky
185,Guarapari,-20.6667,-40.4975,65.89,85,100,15.99,BR,overcast clouds
186,Royan,45.6285,-1.0281,80.82,61,94,10.18,FR,overcast clouds
187,Aktau,43.65,51.2,86.58,21,76,20.36,KZ,broken clouds
188,Angren,41.0167,70.1436,68.29,24,0,5.41,UZ,clear sky
189,Ojinaga,29.5667,-104.4167,72.55,88,0,5.75,MX,clear sky
190,Guerrero Negro,27.9769,-114.0611,72.25,77,30,3.67,MX,scattered clouds
191,Gerede,40.8008,32.1969,72.03,54,19,10.02,TR,few clouds
192,Deputatskiy,69.3,139.9,50.81,87,61,4.27,RU,broken clouds
193,Khuzhir,53.1939,107.3397,52.79,78,69,8.81,RU,broken clouds
194,Faya,18.3851,42.4509,72.12,66,97,9.48,SA,overcast clouds
195,Tuktoyaktuk,69.4541,-133.0374,41.0,87,100,5.75,CA,overcast clouds
196,Nikolskoye,59.7035,30.7861,80.49,33,0,10.11,RU,clear sky
197,Palafrugell,41.9174,3.1631,88.56,60,0,5.01,ES,clear sky
198,Lahaina,20.8783,-156.6825,78.8,86,2,8.23,US,clear sky
199,Kahului,20.8947,-156.47,78.82,74,0,14.97,US,clear sky
200,Cherskiy,68.75,161.3,53.65,50,0,11.41,RU,clear sky
201,Sao Filipe,14.8961,-24.4956,78.24,80,100,7.18,CV,overcast clouds
202,Vuktyl,63.8567,57.3094,71.55,72,46,3.31,RU,scattered clouds
203,Piacabucu,-10.4056,-36.4344,78.51,66,18,15.52,BR,few clouds
204,Zarate,-34.0981,-59.0286,62.96,36,25,11.01,AR,scattered clouds
205,Talnakh,69.4865,88.3972,47.08,53,72,16.13,RU,broken clouds
206,Avera,33.194,-82.5271,82.54,66,3,2.42,US,clear sky
207,Makat,47.6469,53.3463,80.37,20,99,11.5,KZ,overcast clouds
208,Udayagiri,20.1333,84.3833,70.75,93,98,3.71,IN,overcast clouds
209,Mahebourg,-20.4081,57.7,71.89,83,75,17.27,MU,broken clouds
210,Leningradskiy,69.3833,178.4167,33.37,92,69,9.37,RU,broken clouds
211,Kungurtug,50.5994,97.5228,40.62,94,100,4.38,RU,overcast clouds
212,Tura,25.5198,90.2201,76.91,88,32,3.76,IN,scattered clouds
213,Abha,18.2164,42.5053,71.85,56,40,17.27,SA,scattered clouds
214,La Ronge,55.1001,-105.2842,71.85,60,75,4.61,CA,broken clouds
215,Chuy,-33.6971,-53.4616,54.19,50,3,7.27,UY,clear sky
216,Araouane,18.9048,-3.5265,104.07,18,100,5.21,ML,overcast clouds
217,Nemuro,43.3236,145.575,67.17,97,100,20.09,JP,overcast clouds
218,Naze,28.3667,129.4833,81.52,86,100,14.03,JP,overcast clouds
219,Scarborough,54.2797,-0.4044,74.77,55,80,4.0,GB,broken clouds
220,Esperance,-33.8667,121.9,53.42,86,43,7.96,AU,scattered clouds
221,Banda Aceh,5.5577,95.3222,80.24,81,90,10.2,ID,overcast clouds
222,Laguna,38.421,-121.4238,80.17,70,0,3.44,US,clear sky
